,text,tag
594,for,O
595,auction,O
596,by,O
597,Hendrix,B-PER
598,'s,O
599,former,O
600,girlfriend,O
601,Kathy,B-PER
602,Etchingham,I-PER
603,",",O
604,who,O
605,lived,O
606,with,O
607,him,O
608,from,O
609,1966,O
610,to,O
611,1969,O
612,.,O
613,They,O
614,included,O
615,a,O
616,black,O
617,lacquer,O
618,and,O
619,mother,O
620,of,O
621,pearl,O
622,inlaid,O
623,box,O
624,used,O
625,by,O
626,Hendrix,B-PER
627,to,O
628,store,O
629,his,O
630,drugs,O
631,",",O
632,which,O
633,an,O
634,anonymous,O
635,Australian,B-MISC
636,purchaser,O
637,bought,O
638,for,O
639,"5,060",O
640,pounds,O
641,(,O
642,$,O
643,"7,845",O
644,),O
645,.,O
646,The,O
647,guitarist,O
648,died,O
649,of,O
650,a,O
651,drugs,O
652,overdose,O
653,in,O
654,1970,O
655,aged,O
656,27,O
657,.,O
658,China,B-LOC
659,says,O
660,Taiwan,B-LOC
661,spoils,O
662,atmosphere,O
663,for,O
664,talks,O
665,.,O
666,BEIJING,B-LOC
667,1996-08-22,O
668,China,B-LOC
669,on,O
670,Thursday,O
671,accused,O
672,Taipei,B-LOC
673,of,O
674,spoiling,O
675,the,O
676,atmosphere,O
677,for,O
678,a,O
679,resumption,O
680,of,O
681,talks,O
682,across,O
683,the,O
684,Taiwan,B-LOC
685,Strait,I-LOC
686,with,O
687,a,O
688,visit,O
689,to,O
690,Ukraine,B-LOC
691,by,O
692,Taiwanese,B-MISC
693,Vice,O
694,President,O
695,Lien,B-PER
696,Chan,I-PER
697,this,O
698,week,O
699,that,O
700,infuriated,O
701,Beijing,B-LOC
702,.,O
703,Speaking,O
704,only,O
705,hours,O
706,after,O
707,Chinese,B-MISC
708,state,O
709,media,O
710,said,O
711,the,O
712,time,O
713,was,O
714,right,O
715,to,O
716,engage,O
717,in,O
718,political,O
719,talks,O
720,with,O
721,Taiwan,B-LOC
722,",",O
723,Foreign,B-ORG
724,Ministry,I-ORG
725,spokesman,O
726,Shen,B-PER
727,Guofang,I-PER
728,told,O
729,Reuters,B-ORG
730,:,O
731,"""",O
732,The,O
733,necessary,O
734,atmosphere,O
735,for,O
736,the,O
737,opening,O
738,of,O
739,the,O
740,talks,O
741,has,O
742,been,O
743,disrupted,O
744,by,O
745,the,O
746,Taiwan,B-LOC
747,authorities,O
748,.,O
749,"""",O
750,State,O
751,media,O
752,quoted,O
753,China,B-LOC
754,'s,O
755,top,O
756,negotiator,O
757,with,O
758,Taipei,B-LOC
759,",",O
760,Tang,B-PER
761,Shubei,I-PER
762,",",O
763,as,O
764,telling,O
765,a,O
766,visiting,O
767,group,O
768,from,O
769,Taiwan,B-LOC
770,on,O
771,Wednesday,O
772,that,O
773,it,O
774,was,O
775,time,O
776,for,O
777,the,O
778,rivals,O
779,to,O
780,hold,O
781,political,O
782,talks,O
783,.,O
784,"""",O
785,Now,O
786,is,O
787,the,O
788,time,O
789,for,O
790,the,O
791,two,O
792,sides,O
793,to,O
794,engage,O
795,in,O
796,political,O
797,talks,O
798,...,O
799,that,O
800,is,O
801,to,O
802,end,O
803,the,O
804,state,O
805,of,O
806,hostility,O
807,",",O
808,"""",O
809,Thursday,O
810,'s,O
811,overseas,O
812,edition,O
813,of,O
814,the,O
815,People,B-ORG
816,'s,I-ORG
817,Daily,I-ORG
818,quoted,O
819,Tang,B-PER
820,as,O
821,saying,O
822,.,O
823,The,O
824,foreign,O
825,ministry,O
826,'s,O
827,Shen,B-ORG
828,told,O
829,Reuters,B-ORG
830,Television,I-ORG
831,in,O
832,an,O
833,interview,O
834,he,O
835,had,O
836,read,O
837,reports,O
838,of,O
839,Tang,B-PER
840,'s,O
841,comments,O
842,but,O
843,gave,O
844,no,O
845,details,O
846,of,O
847,why,O
848,the,O
849,negotiator,O
850,had,O
851,considered,O
852,the,O
853,time,O
854,right,O
855,for,O
856,talks,O
857,with,O
858,Taiwan,B-LOC
859,",",O
860,which,O
861,Beijing,B-LOC
862,considers,O
863,a,O
864,renegade,O
865,province,O
866,.,O
867,China,B-LOC
868,",",O
869,which,O
870,has,O
871,long,O
872,opposed,O
873,all,O
874,Taipei,B-LOC
875,efforts,O
876,to,O
877,gain,O
878,greater,O
879,international,O
880,recognition,O
881,",",O
882,was,O
883,infuriated,O
884,by,O
885,a,O
886,visit,O
887,to,O
888,Ukraine,B-LOC
889,this,O
890,week,O
891,by,O
892,Taiwanese,B-MISC
893,Vice,O
894,President,O
895,Lien,B-PER
896,.,O
897,China,B-LOC
898,says,O
899,time,O
900,right,O
901,for,O
902,Taiwan,B-LOC
903,talks,O
904,.,O
905,BEIJING,B-LOC
906,1996-08-22,O
907,China,B-LOC
908,has,O
909,said,O
910,it,O
911,was,O
912,time,O
913,for,O
914,political,O
915,talks,O
916,with,O
917,Taiwan,B-LOC
918,and,O
919,that,O
920,the,O
921,rival,O
922,island,O
923,should,O
924,take,O
925,practical,O
926,steps,O
927,towards,O
928,that,O
929,goal,O
930,.,O
931,Consultations,O
932,should,O
933,be,O
934,held,O
935,to,O
936,set,O
937,the,O
938,time,O
939,and,O
940,format,O
941,of,O
942,the,O
943,talks,O
944,",",O
945,the,O
946,official,O
947,Xinhua,B-ORG
948,news,O
949,agency,O
950,quoted,O
951,Tang,B-PER
952,Shubei,I-PER
953,",",O
954,executive,O
955,vice,O
956,chairman,O
957,of,O
958,the,O
959,Association,B-ORG
960,for,I-ORG
961,Relations,I-ORG
962,Across,I-ORG
963,the,I-ORG
964,Taiwan,I-ORG
965,Straits,I-ORG
966,",",O
967,as,O
968,saying,O
969,late,O
970,on,O
971,Wednesday,O
972,.,O
973,German,B-MISC
974,July,O
975,car,O
976,registrations,O
977,up,O
978,14.2,O
979,pct,O
980,yr,O
981,/,O
982,yr,O
983,.,O
984,FRANKFURT,B-LOC
985,1996-08-22,O
986,German,B-MISC
987,first-time,O
988,registrations,O
989,of,O
990,motor,O
991,vehicles,O
992,jumped,O
993,14.2,O
994,percent,O
995,in,O
996,July,O
997,this,O
998,year,O
999,from,O
1000,the,O
1001,year-earlier,O
1002,period,O
1003,",",O
1004,the,O
1005,Federal,B-ORG
1006,office,I-ORG
1007,for,I-ORG
1008,motor,I-ORG
1009,vehicles,I-ORG
1010,said,O
1011,on,O
1012,Thursday,O
1013,.,O
1014,The,O
1015,office,O
1016,said,O
1017,"356,725",O
1018,new,O
1019,cars,O
1020,were,O
1021,registered,O
1022,in,O
1023,July,O
1024,1996,O
1025,--,O
1026,"304,850",O
1027,passenger,O
1028,cars,O
1029,and,O
1030,"15,613",O
1031,trucks,O
1032,.,O
1033,The,O
1034,figures,O
1035,represent,O
1036,a,O
1037,13.6,O
1038,percent,O
1039,increase,O
1040,for,O
1041,passenger,O
1042,cars,O
1043,and,O
1044,a,O
1045,2.2,O
1046,percent,O
1047,decline,O
1048,for,O
1049,trucks,O
1050,from,O
1051,July,O
1052,1995,O
1053,.,O
1054,Motor-bike,O
1055,registration,O
1056,rose,O
1057,32.7,O
1058,percent,O
1059,in,O
1060,the,O
1061,period,O
1062,.,O
1063,The,O
1064,growth,O
1065,was,O
1066,partly,O
1067,due,O
1068,to,O
1069,an,O
1070,increased,O
1071,number,O
1072,of,O
1073,Germans,B-MISC
1074,buying,O
1075,German,B-MISC
1076,cars,O
1077,abroad,O
1078,",",O
1079,while,O
1080,manufacturers,O
1081,said,O
1082,that,O
1083,domestic,O
1084,demand,O
1085,was,O
1086,weak,O
1087,",",O
1088,the,O
1089,federal,O
1090,office,O
1091,said,O
1092,.,O
1093,Almost,O
1094,all,O
1095,German,B-MISC
1096,car,O
1097,manufacturers,O
1098,posted,O
1099,gains,O
1100,in,O
1101,registration,O
1102,numbers,O
1103,in,O
1104,the,O
1105,period,O
1106,.,O
1107,Volkswagen,B-ORG
1108,AG,I-ORG
1109,won,O
1110,"77,719",O
1111,registrations,O
1112,",",O
1113,slightly,O
1114,more,O
1115,than,O
1116,a,O
1117,quarter,O
1118,of,O
1119,the,O
1120,total,O
1121,.,O
1122,Opel,B-ORG
1123,AG,I-ORG
1124,together,O
1125,with,O
1126,General,B-ORG
1127,Motors,I-ORG
1128,came,O
1129,in,O
1130,second,O
1131,place,O
1132,with,O
1133,"49,269",O
1134,registrations,O
1135,",",O
1136,16.4,O
1137,percent,O
1138,of,O
1139,the,O
1140,overall,O
1141,figure,O
1142,.,O
1143,Third,O
1144,was,O
1145,Ford,B-ORG
1146,with,O
1147,"35,563",O
1148,registrations,O
1149,",",O
1150,or,O
1151,11.7,O
1152,percent,O
1153,.,O
1154,Only,O
1155,Seat,B-ORG
1156,and,O
1157,Porsche,B-ORG
1158,had,O
1159,fewer,O
1160,registrations,O
1161,in,O
1162,July,O
1163,1996,O
1164,compared,O
1165,to,O
1166,last,O
1167,year,O
1168,'s,O
1169,July,O
1170,.,O
1171,Seat,B-ORG
1172,posted,O
1173,"3,420",O
1174,registrations,O
1175,compared,O
1176,with,O
1177,5522,O
1178,registrations,O
1179,in,O
1180,July,O
1181,a,O
1182,year,O
1183,earlier,O
1184,.,O
1185,Porsche,B-ORG
1186,'s,O
1187,registrations,O
1188,fell,O
1189,to,O
1190,554,O
1191,from,O
1192,643,O
1193,.,O
1194,GREEK,B-MISC
1195,SOCIALISTS,O
1196,GIVE,O
1197,GREEN,O
1198,LIGHT,O
1199,TO,O
1200,PM,O
1201,FOR,O
1202,ELECTIONS,O
1203,.,O
1204,ATHENS,B-LOC
1205,1996-08-22,O
1206,The,O
1207,Greek,B-MISC
1208,socialist,O
1209,party,O
1210,'s,O
1211,executive,O
1212,bureau,O
1213,gave,O
1214,the,O
1215,green,O
1216,light,O
1217,to,O
1218,Prime,O
1219,Minister,O
1220,Costas,B-PER
1221,Simitis,I-PER
1222,to,O
1223,call,O
1224,snap,O
1225,elections,O
1226,",",O
1227,its,O
1228,general,O
1229,secretary,O
1230,Costas,B-PER
1231,Skandalidis,I-PER
1232,told,O
1233,reporters,O
1234,.,O
1235,Prime,O
1236,Minister,O
1237,Costas,B-PER
1238,Simitis,I-PER
1239,is,O
1240,going,O
1241,to,O
1242,make,O
1243,an,O
1244,official,O
1245,announcement,O
1246,after,O
1247,a,O
1248,cabinet,O
1249,meeting,O
1250,later,O
1251,on,O
1252,Thursday,O
1253,",",O
1254,said,O
1255,Skandalidis,B-PER
1256,.,O
1257,--,O
1258,Dimitris,B-PER
1259,Kontogiannis,I-PER
1260,",",O
1261,Athens,B-ORG
1262,Newsroom,I-ORG
1263,+301,O
1264,3311812-4,O
1265,BayerVB,B-ORG
1266,sets,O
1267,C$,B-MISC
1268,100,O
1269,million,O
1270,six-year,O
1271,bond,O
1272,.,O
1273,LONDON,B-LOC
1274,1996-08-22,O
1275,The,O
1276,following,O
1277,bond,O
1278,was,O
1279,announced,O
1280,by,O
1281,lead,O
1282,manager,O
1283,Toronto,B-PER
1284,Dominion,I-PER
1285,.,O
1286,BORROWER,O
1287,BAYERISCHE,B-ORG
1288,VEREINSBANK,I-ORG
1289,AMT,O
1290,C$,B-MISC
1291,100,O
1292,MLN,O
1293,COUPON,O
1294,6.625,O
1295,MATURITY,O
1296,24.SEP.02,O
1297,TYPE,O
1298,STRAIGHT,O
1299,ISS,O
1300,PRICE,O
1301,100.92,O
1302,PAY,O
1303,DATE,O
1304,24.SEP.96,O
1305,FULL,O
1306,FEES,O
1307,1.875,O
1308,REOFFER,O
1309,99.32,O
1310,SPREAD,O
1311,+20,O
1312,BP,O
1313,MOODY,O
1314,AA1,O
1315,LISTING,O
1316,LUX,O
1317,PAY,O
1318,FREQ,O
1319,=,O
1320,S&P,B-ORG
1321,=,O
1322,DENOMS,O
1323,(,O
1324,K,O
1325,),O
1326,1-10-100,O
1327,SALE,O
1328,LIMITS,O
1329,US,B-LOC
1330,/,O
1331,UK,B-LOC
1332,/,O
1333,CA,B-LOC
1334,NEG,O
1335,PLG,O
1336,NO,O
1337,CRS,O
1338,DEFLT,O
1339,NO,O
1340,FORCE,O
1341,MAJ,O
1342,=,O
1343,GOV,O
1344,LAW,O
1345,GERMAN,B-MISC
1346,HOME,O
1347,CTRY,O
1348,=,O
1349,TAX,O
1350,PROVS,O
1351,STANDARD,O
1352,MGT,O
1353,/,O
1354,UND,O
1355,0.275,O
1356,SELL,O
1357,CONC,O
1358,1.60,O
1359,PRAECIP,O
1360,=,O
1361,UNDERLYING,O
1362,GOVT,O
1363,BOND,O
1364,7.0,O
1365,PCT,O
1366,SEPT,O
1367,2001,O
1368,NOTES,O
1369,BAYERISCHE,B-ORG
1370,VEREINSBANK,I-ORG
1371,IS,O
1372,JOINT,O
1373,LEAD,O
1374,MANAGER,O
1375,--,O
1376,London,B-ORG
1377,Newsroom,I-ORG
1378,+44,O
1379,171,O
1380,542,O
1381,7658,O
1382,Venantius,B-ORG
1383,sets,O
1384,$,O
1385,300,O
1386,million,O
1387,January,O
1388,1999,O
1389,FRN,O
1390,.,O
1391,LONDON,B-LOC
1392,1996-08-22,O
1393,The,O
1394,following,O
1395,floating-rate,O
1396,issue,O
1397,was,O
1398,announced,O
1399,by,O
1400,lead,O
1401,manager,O
1402,Lehman,B-ORG
1403,Brothers,I-ORG
1404,International,I-ORG
1405,.,O
1406,BORROWER,O
1407,VENANTIUS,B-ORG
1408,AB,I-ORG
1409,(,O
1410,SWEDISH,B-MISC
1411,NATIONAL,O
1412,MORTGAGE,O
1413,AGENCY,O
1414,),O
1415,AMT,O
1416,$,O
1417,300,O
1418,MLN,O
1419,SPREAD,O
1420,-,O
1421,12.5,O
1422,BP,O
1423,MATURITY,O
1424,21.JAN.99,O
1425,TYPE,O
1426,FRN,O
1427,BASE,O
1428,3M,B-ORG
1429,LIBOR,O
1430,PAY,O
1431,DATE,O
1432,S23.SEP.96,O
1433,LAST,O
1434,MOODY,O
1435,AA3,O
1436,ISS,O
1437,PRICE,O
1438,99.956,O
1439,FULL,O
1440,FEES,O
1441,10,O
1442,BP,O
1443,LAST,O
1444,S&P,B-ORG
1445,AA+,O
1446,REOFFER,O
1447,=,O
1448,NOTES,O
1449,S,O
1450,SHORT,O
1451,FIRST,O
1452,COUPON,O
1453,LISTING,O
1454,LONDON,B-LOC
1455,DENOMS,O
1456,(,O
1457,K,O
1458,),O
1459,1-10-100,O
1460,SALE,O
1461,LIMITS,O
1462,US,B-LOC
1463,/,O
1464,UK,B-LOC
1465,/,O
1466,JP,B-LOC
1467,/,O
1468,FR,B-LOC
1469,NEG,O
1470,PLG,O
1471,YES,O
1472,CRS,O
1473,DEFLT,O
1474,NO,O
1475,FORCE,O
1476,MAJ,O
1477,IPMA,O
1478,2,O
1479,GOV,O
1480,LAW,O
1481,ENGLISH,B-MISC
1482,HOME,O
1483,CTRY,O
1484,SWEDEN,B-LOC
1485,TAX,O
1486,PROVS,O
1487,STANDARD,O
1488,MGT,O
1489,/,O
1490,UND,O
1491,5,O
1492,BP,O
1493,SELL,O
1494,CONC,O
1495,5,O
1496,BP,O
1497,PRAECIP,O
1498,=,O
1499,NOTES,O
1500,ISSUED,O
1501,OFF,O
1502,EMTN,O
1503,PROGRAMME,O
1504,--,O
1505,London,B-ORG
1506,Newsroom,I-ORG
1507,+44,O
1508,171,O
1509,542,O
1510,8863,O
1511,Port,O
1512,conditions,O
1513,update,O
1514,-,O
1515,Syria,B-LOC
1516,-,O
1517,Lloyds,B-ORG
1518,Shipping,I-ORG
1519,.,O
1520,Port,O
1521,conditions,O
1522,from,O
1523,Lloyds,B-ORG
1524,Shipping,I-ORG
1525,Intelligence,I-ORG
1526,Service,I-ORG
1527,--,O
1528,LATTAKIA,B-LOC
1529,",",O
1530,Aug,O
1531,10,O
1532,-,O
1533,waiting,O
1534,time,O
1535,at,O
1536,Lattakia,B-LOC
1537,and,O
1538,Tartous,B-LOC
1539,presently,O
1540,24,O
1541,hours,O
1542,.,O
1543,Israel,B-LOC
1544,plays,O
1545,down,O
1546,fears,O
1547,of,O
1548,war,O
1549,with,O
1550,Syria,B-LOC
1551,.,O
1552,Colleen,B-PER
1553,Siegel,I-PER
1554,JERUSALEM,B-LOC
1555,1996-08-22,O
1556,Israel,B-LOC
1557,'s,O
1558,outgoing,O
1559,peace,O
1560,negotiator,O
1561,with,O
1562,Syria,B-LOC
1563,said,O
1564,on,O
1565,Thursday,O
1566,current,O
1567,tensions,O
1568,between,O
1569,the,O
1570,two,O
1571,countries,O
1572,appeared,O
1573,to,O
1574,be,O
1575,a,O
1576,storm,O
1577,in,O
1578,a,O
1579,teacup,O
1580,.,O
1581,Itamar,B-PER
1582,Rabinovich,I-PER
1583,",",O
1584,who,O
1585,as,O
1586,Israel,B-LOC
1587,'s,O
1588,ambassador,O
1589,to,O
1590,Washington,B-LOC
1591,conducted,O
1592,unfruitful,O
1593,negotiations,O
1594,with,O
1595,Syria,B-LOC
1596,",",O
1597,told,O
1598,Israel,B-ORG
1599,Radio,I-ORG
1600,it,O
1601,looked,O
1602,like,O
1603,Damascus,B-LOC
1604,wanted,O
1605,to,O
1606,talk,O
1607,rather,O
1608,than,O
1609,fight,O
1610,.,O
1611,"""",O
1612,It,O
1613,appears,O
1614,to,O
1615,me,O
1616,the,O
1617,Syrian,B-MISC
1618,priority,O
1619,is,O
1620,still,O
1621,to,O
1622,negotiate,O
1623,.,O
1624,The,O
1625,Syrians,B-MISC
1626,are,O
1627,confused,O
1628,",",O
1629,they,O
1630,are,O
1631,definitely,O
1632,tense,O
1633,",",O
1634,but,O
1635,the,O
1636,general,O
1637,assessment,O
1638,here,O
1639,in,O
1640,Washington,B-LOC
1641,is,O
1642,that,O
1643,this,O
1644,is,O
1645,essentially,O
1646,a,O
1647,storm,O
1648,in,O
1649,a,O
1650,teacup,O
1651,",",O
1652,"""",O
1653,he,O
1654,said,O
1655,.,O
1656,Rabinovich,B-PER
1657,is,O
1658,winding,O
1659,up,O
1660,his,O
1661,term,O
1662,as,O
1663,ambassador,O
1664,.,O
1665,He,O
1666,will,O
1667,be,O
1668,replaced,O
1669,by,O
1670,Eliahu,B-PER
1671,Ben-Elissar,I-PER
1672,",",O
1673,a,O
1674,former,O
1675,Israeli,B-MISC
1676,envoy,O
1677,to,O
1678,Egypt,B-LOC
1679,and,O
1680,right-wing,O
1681,Likud,B-ORG
1682,party,O
1683,politician,O
1684,.,O
1685,Israel,B-LOC
1686,on,O
1687,Wednesday,O
1688,sent,O
1689,Syria,B-LOC
1690,a,O
1691,message,O
1692,",",O
1693,via,O
1694,Washington,B-LOC
1695,",",O
1696,saying,O
1697,it,O
1698,was,O
1699,committed,O
1700,to,O
1701,peace,O
1702,and,O
1703,wanted,O
1704,to,O
1705,open,O
1706,negotiations,O
1707,without,O
1708,preconditions,O
1709,.,O
1710,But,O
1711,it,O
1712,slammed,O
1713,Damascus,B-LOC
1714,for,O
1715,creating,O
1716,what,O
1717,it,O
1718,called,O
1719,a,O
1720,dangerous,O
1721,atmosphere,O
1722,.,O
1723,Syria,B-LOC
1724,accused,O
1725,Israel,B-LOC
1726,on,O
1727,Wednesday,O
1728,of,O
1729,launching,O
1730,a,O
